iter	Passed	Remaining
402	13597	47237
403	13635	47217
404	13673	47199
405	13712	47182
406	13748	47157
407	13787	47140
408	13825	47121
409	13863	47102
410	13902	47084
411	13941	47070
412	13981	47055
413	14020	47038
414	14057	47017
415	14097	47002
416	14135	46983
417	14176	46973
418	14215	46954
419	14256	46943
420	14295	46925
421	14331	46898
422	14369	46878
423	14407	46858
424	14444	46834
425	14484	46820
426	14522	46797
427	14560	46776
428	14599	46760
429	14639	46743
430	14672	46707
431	14711	46689
432	14750	46670
433	14790	46654
434	14828	46633
435	14866	46610
436	14902	46582
437	14940	46560
438	14981	46547
439	15020	46529
440	15059	46509
441	15098	46492
442	15136	46467
443	15172	46441
444	15210	46418
445	15250	46401
446	15289	46381
447	15330	46367
448	15371	46354
449	15409	46331
450	15447	46308
451	15486	46289
452	15526	46269
453	15564	46247
454	15601	46222
455	15643	46210
456	15685	46197
457	15728	46189
458	15770	46176
459	15829	46216
460	15868	46194
461	15908	46176
462	15951	46166
463	15989	46141
464	16029	46124
465	16071	46110
466	16109	46086
467	16149	46066
468	16186	46041
469	16236	46049
470	16275	46026
471	16313	46003
472	16357	45993
473	16394	45967
474	16435	45950
475	16476	45933
476	16514	45908
477	16555	45890
478	16592	45864
479	16631	45839
480	16667	45810
481	16708	45792
482	16746	45765
483	16784	45740
484	16822	45714
485	16859	45686
486	16898	45665
487	16937	45640
488	16977	45621
489	17020	45607
490	17058	45582
491	17097	45557
492	17136	45534
493	17174	45508
494	17214	45487
495	17252	45463
496	17292	45441
497	17330	45415
498	17371	45394
499	17413	45379
500	17458	45371
501	17496	45343
502	17535	45319
503	17576	45301
504	17615	45275
505	17654	45252
506	17696	45236
507	17737	45216
508	17777	45193
509	17816	45169
510	17854	45142
511	17892	45114
512	17931	45089
513	17970	45065
514	18010	45042
515	18048	45016
516	18102	45028
517	18144	45012
518	18184	44989
519	18221	44957
520	18252	44912
521	18311	44936
522	18340	44886
523	18375	44850
524	18408	44811
525	18447	44787
526	18496	44785
527	18529	44743
528	18562	44703
529	18595	44664
530	18628	44624
531	18660	44582
532	18694	44544
533	18729	44509
534	18762	44468
535	18796	44431
536	18828	44388
537	18864	44356
538	18904	44331
539	18950	44323
540	18983	44282
541	19020	44251
542	19053	44211
543	19091	44184
544	19126	44149
545	19158	44106
546	19193	44071
547	19226	44030
548	19259	43991
549	19295	43957
550	19325	43912
551	19355	43866
552	19385	43818
553	19423	43791
554	19457	43753
555	19494	43722
556	19525	43678
557	19555	43632
558	19584	43584
559	19618	43545
560	19652	43509
561	19686	43471
562	19718	43429
563	19751	43390
564	19784	43351
565	19819	43316
566	19851	43275
567	19887	43241
568	19925	43212
569	19957	43171
570	19994	43141
571	20025	43096
572	20063	43067
573	20098	43033
574	20128	42986
575	20164	42954
576	20195	42911
577	20225	42866
578	20256	42823
579	20291	42786
580	20323	42744
581	20357	42707
582	20392	42672
583	20423	42630
584	20466	42611
585	20505	42585
586	20539	42548
587	20575	42516
588	20619	42499
589	20673	42504
590	20708	42468
591	20749	42445
592	20783	42408
593	20814	42364
594	20854	42340
595	20889	42305
596	20921	42263
597	20954	42223
598	20998	42207
599	21030	42165
600	21068	42136
601	21103	42100
602	21132	42054
603	21162	42010
604	21194	41969
605	21233	41940
606	21266	41902
607	21302	41868
608	21332	41823
609	21365	41784
610	21401	41751
611	21434	41713
612	21471	41682
613	21504	41643
614	21536	41602
615	21567	41559
616	21600	41521
617	21633	41480
618	21668	41446
619	21705	41416
620	21742	41384
621	21776	41346
622	21812	41313
623	21844	41273
624	21877	41234
625	21914	41203
626	21947	41163
627	21979	41124
628	22013	41087
629	22047	41051
630	22082	41015
631	22114	40974
632	22146	40934
633	22197	40929
634	22232	40893
635	22267	40858
636	22301	40822
637	22333	40781
638	22365	40740
639	22399	40704
640	22430	40662
641	22466	40628
642	22502	40594
643	22532	40550
644	22564	40511
645	22597	40472
646	22631	40435
647	22666	40401
648	22698	40360
649	22727	40315
650	22764	40283
651	22797	40245
652	22829	40205
653	22864	40170
654	22898	40132
655	22929	40091
656	22964	40056
657	23006	40033
658	23038	39994
659	23072	39957
660	23105	39919
661	23136	39876
662	23170	39839
663	23205	39805
664	23244	39777
665	23282	39747
666	23312	39703
667	23343	39662
668	23374	39620
669	23407	39583
670	23439	39542
671	23473	39506
672	23508	39471
673	23541	39433
674	23574	39395
675	23609	39360
676	23641	39321
677	23678	39288
678	23711	39251
679	23744	39214
680	23786	39189
681	23817	39149
682	23854	39116
683	23889	39081
684	23934	39063
685	23971	39032
686	24008	39000
687	24045	38968
688	24080	38934
689	24114	38897
690	24158	38876
691	24193	38841
692	24226	38804
693	24260	38768
694	24293	38729
695	24326	38692
696	24357	38649
697	24395	38619
698	24428	38582
699	24471	38559
700	24505	38522
701	24539	38486
702	24586	38470
703	24622	38437
704	24655	38399
705	24688	38361
706	24717	38316
707	24754	38285
708	24786	38246
709	24818	38205
710	24852	38169
711	24886	38134
712	24915	38089
713	24950	38055
714	24985	38020
715	25027	37995
716	25065	37965
717	25100	37929
718	25130	37888
719	25163	37850
720	25197	37813
721	25227	37772
722	25264	37739
723	25298	37703
724	25329	37662
725	25364	37627
726	25402	37596
727	25433	37556
728	25475	37531
729	25505	37489
730	25536	37449
731	25573	37416
732	25612	37387
733	25648	37354
734	25684	37321
735	25715	37280
736	25750	37245
737	25786	37212
738	25819	37174
739	25855	37141
740	25893	37110
741	25924	37069
742	25957	37032
743	25994	36999
744	26022	36955
745	26056	36918
746	26091	36883
747	26124	36847
748	26157	36809
749	26192	36774
750	26226	36737
751	26259	36700
752	26291	36660
753	26321	36619
754	26350	36576
755	26385	36541
756	26416	36501
757	26450	36465
758	26484	36429
759	26520	36395
760	26562	36371
761	26600	36340
762	26631	36299
763	26663	36260
764	26696	36223
765	26730	36187
766	26763	36150
767	26797	36113
768	26832	36078
769	26876	36056
770	26910	36019
771	26944	35983
772	26978	35947
773	27007	35905
774	27043	35872
775	27072	35829
776	27104	35790
777	27137	35752
778	27173	35719
779	27206	35681
780	27238	35643
781	27272	35607
782	27304	35569
783	27339	35534
784	27371	35495
785	27401	35453
786	27433	35416
787	27468	35381
788	27500	35342
789	27533	35305
790	27569	35272
791	27601	35234
792	27649	35216
793	27683	35179
794	27714	35140
795	27749	35105
796	27784	35070
797	27812	35027
798	27845	34989
799	27880	34955
800	27913	34918
801	27946	34881
802	27980	34844
803	28008	34801
804	28049	34775
805	28083	34738
806	28114	34699
807	28145	34659
808	28181	34626
809	28211	34585
810	28245	34549
811	28280	34514
812	28309	34472
813	28339	34432
814	28371	34394
815	28394	34345
816	28423	34302
817	28457	34267
818	28490	34230
819	28521	34190
820	28552	34151
821	28589	34119
822	28618	34077
823	28649	34038
824	28679	33998
825	28722	33973
826	28755	33935
827	28791	33902
828	28818	33858
829	28850	33821
830	28882	33783
831	28916	33747
832	28948	33709
833	28980	33672
834	29012	33633
835	29045	33596
836	29075	33556
837	29101	33512
838	29134	33475
839	29167	33438
840	29198	33399
841	29231	33362
842	29266	33328
843	29297	33289
844	29333	33256
845	29366	33219
846	29395	33178
847	29430	33143
848	29464	33108
849	29495	33069
850	29538	33044
851	29574	33011
852	29602	32968
853	29634	32931
854	29665	32892
855	29692	32848
856	29723	32809
857	29758	32775
858	29790	32738
859	29820	32698
860	29853	32662
861	29886	32625
862	29916	32586
863	29950	32550
864	29985	32515
865	30022	32484
866	30054	32446
867	30086	32409
868	30116	32369
869	30151	32335
870	30186	32300
871	30223	32268
872	30257	32232
873	30287	32193
874	30317	32154
875	30348	32115
876	30381	32079
877	30426	32055
878	30460	32019
879	30505	31996
880	30539	31960
881	30576	31928
882	30603	31886
883	30636	31849
884	30666	31809
885	30701	31775
886	30733	31738
887	30769	31705
888	30802	31668
889	30835	31631
890	30869	31596
891	30901	31559
892	30932	31521
893	30966	31485
894	30997	31447
895	31033	31414
896	31066	31378
897	31099	31342
898	31131	31304
899	31164	31268
900	31197	31231
901	31231	31197
902	31265	31161
903	31309	31136
904	31341	31099
905	31376	31064
906	31408	31027
907	31444	30994
908	31480	30960
909	31511	30922
910	31544	30886
911	31578	30851
912	31605	30809
913	31641	30776
914	31675	30740
915	31708	30704
916	31742	30669
917	31778	30636
918	31805	30594
919	31839	30559
920	31871	30521
921	31905	30486
922	31940	30452
923	31973	30416
924	32004	30378
925	32040	30345
926	32073	30309
927	32105	30271
928	32137	30235
929	32170	30199
930	32199	30158
931	32229	30119
932	32263	30085
933	32294	30046
934	32326	30010
935	32359	29974
936	32390	29936
937	32423	29899
938	32458	29866
939	32488	29827
940	32521	29791
941	32556	29757
942	32586	29718
943	32619	29682
944	32653	29647
945	32680	29605
946	32712	29568
947	32743	29531
948	32778	29497
949	32808	29458
950	32841	29422
951	32876	29388
952	32907	29350
953	32941	29315
954	32977	29282
955	33009	29245
956	33041	29209
957	33075	29174
958	33106	29136
959	33138	29099
960	33172	29064
961	33200	29024
962	33235	28990
963	33267	28953
964	33300	28917
965	33329	28878
966	33357	28838
967	33393	28805
968	33428	28771
969	33462	28736
970	33504	28707
971	33539	28674
972	33574	28639
973	33605	28602
974	33638	28566
975	33672	28531
976	33702	28493
977	33746	28466
978	33777	28429
979	33809	28393
980	33842	28356
981	33877	28322
982	33918	28294
983	33951	28258
984	33980	28219
985	34011	28182
986	34042	28144
987	34076	28109
988	34108	28073
989	34150	28044
990	34180	28006
991	34211	27969
992	34245	27934
993	34278	27898
994	34311	27862
995	34349	27831
996	34391	27803
997	34425	27768
998	34470	27742
999	34503	27706
1000	34537	27671
1001	34571	27636
1002	34613	27607
1003	34646	27572
1004	34680	27537
1005	34716	27504
1006	34754	27471
1007	34784	27434
1008	34816	27397
1009	34847	27360
1010	34881	27325
1011	34917	27291
1012	34952	27258
1013	34981	27219
1014	35013	27182
1015	35046	27147
1016	35078	27111
1017	35127	27087
1018	35160	27052
1019	35192	27015
1020	35225	26979
1021	35264	26948
1022	35299	26914
1023	35332	26878
1024	35375	26851
1025	35407	26814
1026	35438	26777
1027	35474	26743
1028	35509	26709
1029	35540	26672
1030	35572	26635
1031	35606	26601
1032	35642	26568
1033	35676	26533
1034	35708	26496
1035	35740	26460
1036	35773	26425
1037	35806	26389
1038	35841	26355
1039	35876	26320
1040	35918	26291
1041	35954	26258
1042	35984	26220
1043	36016	26184
1044	36047	26147
1045	36081	26112
1046	36117	26078
1047	36152	26045
1048	36180	26005
1049	36220	25975
1050	36266	25948
1051	36296	25911
1052	36333	25878
1053	36369	25845
1054	36397	25806
1055	36430	25770
1056	36463	25735
1057	36500	25702
1058	36550	25678
1059	36578	25639
1060	36608	25601
1061	36650	25572
1062	36682	25536
1063	36726	25508
1064	36761	25474
1065	36791	25436
1066	36824	25400
1067	36862	25368
1068	36893	25332
1069	36928	25297
1070	36961	25262
1071	36988	25222
