iter	RMSE
0	2.994678642
1	2.941683188
2	2.89172394
3	2.848345375
4	2.799841295
5	2.764909516
6	2.718113955
7	2.680324833
8	2.634415843
9	2.597595761
10	2.571877134
11	2.528814458
12	2.491376263
13	2.471680232
14	2.446711386
15	2.41480706
16	2.385282048
17	2.360508855
18	2.338025985
19	2.301700554
20	2.266195091
21	2.246834549
22	2.223058621
23	2.197727639
24	2.184360541
25	2.156409432
26	2.134758811
27	2.117190008
28	2.088636642
29	2.080108563
30	2.054078241
31	2.028060801
32	2.018042123
33	2.001508392
34	1.986167025
35	1.97016639
36	1.95849947
37	1.939173766
38	1.933661761
39	1.932038303
40	1.923937462
41	1.907533396
42	1.893366112
43	1.88222652
44	1.875647723
45	1.870098344
46	1.859304682
47	1.851852807
48	1.835598334
49	1.826247457
50	1.818462108
51	1.809596978
52	1.795449884
53	1.783990627
54	1.771322632
55	1.765882781
56	1.757242148
57	1.751324915
58	1.747726415
59	1.7362007
60	1.72573604
61	1.717815979
62	1.713660018
63	1.710470561
64	1.703959572
65	1.698058664
66	1.695472462
67	1.681921637
68	1.677135337
69	1.669993165
70	1.669164026
71	1.651401746
72	1.639333093
73	1.629612044
74	1.618496494
75	1.615174252
76	1.609780232
77	1.602084826
78	1.598591346
79	1.595641546
80	1.593902333
81	1.589847104
82	1.583342542
83	1.581118731
84	1.572845944
85	1.56548069
86	1.562533856
87	1.557377362
88	1.550047463
89	1.546145773
90	1.541316265
91	1.537025054
92	1.527157887
93	1.520622977
94	1.517423025
95	1.516030625
96	1.508665386
97	1.508317771
98	1.506048564
99	1.500977809
100	1.500975161
101	1.499268551
102	1.492514883
103	1.485153647
104	1.48173421
105	1.481731894
106	1.480475175
107	1.47786729
108	1.471365927
109	1.464861351
110	1.462285547
111	1.461469328
112	1.454919262
113	1.452050709
114	1.442069369
115	1.440902701
116	1.436010891
117	1.430906533
118	1.427146579
119	1.422299485
120	1.419335538
121	1.415834245
122	1.411213259
123	1.408309435
124	1.407639729
125	1.403097492
126	1.401307616
127	1.400046419
128	1.398527576
129	1.390723637
130	1.385324422
131	1.383439608
132	1.381574759
133	1.377583892
134	1.376357259
135	1.376352642
136	1.373135735
137	1.368437202
138	1.364202948
139	1.362301238
140	1.361142319
141	1.36079102
142	1.356018736
143	1.354764445
144	1.352653058
145	1.351045877
146	1.349244189
147	1.345248295
148	1.342338003
149	1.341511517
150	1.337759111
151	1.337559705
152	1.335747725
153	1.334978226
154	1.331245552
155	1.327787887
156	1.325580325
157	1.319100651
158	1.316840473
159	1.315921331
160	1.308405728
161	1.30663041
162	1.305663445
163	1.304313771
164	1.303096919
165	1.300854707
166	1.300013984
167	1.293566151
168	1.291089692
169	1.286118135
170	1.283789526
171	1.283643283
172	1.282150975
173	1.282149768
174	1.281393847
175	1.279551164
176	1.275793686
177	1.2727682
178	1.262018899
179	1.260124384
180	1.256472624
181	1.250803168
182	1.245593012
183	1.243637522
184	1.241795954
185	1.238877416
186	1.238708035
187	1.233608452
188	1.231512168
189	1.225583695
190	1.219701526
191	1.219534544
192	1.215067573
193	1.214631947
194	1.211913415
195	1.207606509
196	1.204909351
197	1.201584929
198	1.199606711
199	1.193647894
200	1.193647288
201	1.191103041
202	1.189008418
203	1.186827614
204	1.181842268
205	1.17639976
206	1.173702858
207	1.17364807
208	1.173519669
209	1.166885756
210	1.164953045
211	1.163994405
212	1.157166228
213	1.154905653
214	1.153466225
215	1.147378393
216	1.145438633
217	1.142392567
218	1.137290654
219	1.133013514
220	1.133013074
221	1.12768069
222	1.126721363
223	1.124528456
224	1.122727947
225	1.119786033
226	1.115707442
227	1.114415008
228	1.108320414
229	1.104504386
230	1.100305341
231	1.097254116
232	1.095485206
233	1.095407232
234	1.091494912
235	1.08908466
236	1.086271612
237	1.082871518
238	1.081249376
239	1.079190338
240	1.074718072
241	1.070768104
242	1.0671011
243	1.062793827
244	1.062772655
245	1.062306848
246	1.060918578
247	1.058500405
248	1.053315661
249	1.048365972
250	1.047091092
251	1.045704045
252	1.043340131
253	1.040911191
254	1.036394513
255	1.034041708
256	1.030473043
257	1.028698326
258	1.024857241
259	1.023147492
260	1.018792898
261	1.01519568
262	1.015039252
263	1.013995448
264	1.009743675
265	1.008451634
266	1.003864125
267	1.001351655
268	0.9999240967
269	0.9975193513
270	0.9962881115
271	0.9929411675
272	0.9903402288
273	0.9872354424
274	0.9832394191
275	0.9829775095
276	0.9813163067
277	0.9783741615
278	0.9767308557
279	0.9755815889
280	0.9753999852
281	0.9741580556
282	0.9740060133
283	0.9719755853
284	0.9685225628
285	0.9663546289
286	0.9637288092
287	0.9616589925
288	0.960201198
289	0.9571913984
290	0.9543895269
291	0.9505994042
292	0.9472432786
293	0.9462377224
294	0.9438029768
295	0.9419123642
296	0.9386119473
297	0.9364453125
298	0.935207256
299	0.9346905661
300	0.9336505903
301	0.9322609189
302	0.9298758943
303	0.9264911141
304	0.9242413328
305	0.9230415661
306	0.9196210757
307	0.9171289063
308	0.9169081358
309	0.9136524012
310	0.9107299848
311	0.9076237561
312	0.9072700218
313	0.9055048249
314	0.9047116455
315	0.9032166191
316	0.9022901771
317	0.8998110781
318	0.8989705531
319	0.8982933117
320	0.896800913
321	0.8942765849
322	0.8920062259
323	0.8911250641
324	0.8909753061
325	0.8893632921
326	0.8879800818
327	0.8875507152
328	0.8870992175
329	0.8868562396
330	0.8865661168
331	0.8841325277
332	0.8819093239
333	0.8797247896
334	0.879282544
335	0.8788833784
336	0.8783754945
337	0.8758064337
338	0.8738586637
339	0.8717258187
340	0.8699397901
341	0.8691280609
342	0.8670668828
343	0.8659010281
344	0.8651136934
345	0.8634538713
346	0.8630269462
347	0.862627509
348	0.862188292
349	0.8614008666
350	0.8599023089
351	0.8572387867
352	0.8553869333
353	0.855098507
354	0.8538759257
355	0.853368602
356	0.8525958305
357	0.8506218372
358	0.8491799797
359	0.8486201289
360	0.8470056409
361	0.845711985
362	0.8454889144
363	0.8440056239
364	0.8421379188
365	0.8409637519
366	0.8399169704
367	0.8395167959
368	0.8378408928
369	0.8376587024
370	0.836540091
371	0.8361497525
372	0.8342285068
373	0.8327421947
374	0.8312062083
375	0.8311575547
376	0.8296409249
377	0.8291190845
378	0.8283105224
379	0.8280066491
380	0.8278266061
381	0.8274169973
382	0.8267557933
383	0.8264680516
384	0.8252602831
385	0.8245104785
386	0.8244746761
387	0.8229267988
388	0.8220246586
389	0.8215164915
390	0.8211728037
391	0.8190230324
392	0.8175363318
393	0.8164705601
394	0.8141798919
395	0.8137497192
396	0.8130826685
397	0.8128554695
398	0.8111349953
399	0.8108415514
400	0.8088971201
401	0.8085255921
402	0.8077342172
403	0.806705962
404	0.8053978111
405	0.8050487449
406	0.8027880162
407	0.8022266487
408	0.8009823733
409	0.800216381
410	0.7986101342
411	0.7984210682
412	0.7979570963
413	0.797250023
414	0.7971324675
415	0.7954902102
416	0.7951111857
417	0.7948056826
418	0.7945961837
419	0.7941030817
420	0.7928245662
421	0.7920261041
422	0.7918066975
423	0.7902830431
424	0.7900709272
425	0.7899690777
426	0.7897549674
427	0.789519415
428	0.7878263548
429	0.7876519502
430	0.7860119507
431	0.7857769012
432	0.7850419255
433	0.7847170581
434	0.7845751236
435	0.7842234042
436	0.7826307555
437	0.7812002813
438	0.7807068142
439	0.7801245449
440	0.7795409745
441	0.7792210927
442	0.7780512483
443	0.7771727112
444	0.7763726958
445	0.7757785485
446	0.775600401
447	0.7748079686
448	0.7739415806
449	0.7735332058
450	0.7718198561
451	0.7705617623
452	0.7700651675
453	0.7698901389
454	0.7696296387
455	0.7695184272
456	0.7674683748
457	0.7671816655
458	0.766618
459	0.7664597666
460	0.7662621146
461	0.7657157814
462	0.7644679233
463	0.7636715054
464	0.7629209975
465	0.7614848953
466	0.7606303329
467	0.760316577
468	0.7600553953
469	0.759381602
470	0.7586271214
471	0.7582259602
472	0.7570346812
473	0.7568417256
474	0.7553303993
475	0.753937486
476	0.7538207182
477	0.753008178
478	0.7526574599
479	0.7525882843
480	0.7511687153
481	0.7502292258
482	0.7498673588
483	0.7495426237
484	0.7490913898
485	0.7489944609
486	0.7484670033
487	0.7483667409
488	0.747988779
489	0.7467479781
490	0.7465322057
491	0.7463094623
492	0.7460935481
493	0.7450917119
