iter	Passed	Remaining
401	19091	66535
402	19136	66480
403	19183	66429
404	19232	66388
405	19275	66325
406	19334	66315
407	19384	66277
408	19434	66237
409	19466	66138
410	19513	66088
411	19566	66060
412	19632	66076
413	19685	66047
414	19738	66017
415	19791	65987
416	19839	65942
417	19886	65891
418	19931	65836
419	19976	65779
420	20017	65710
421	20067	65669
422	20114	65621
423	20160	65569
424	20203	65506
425	20251	65461
426	20298	65410
427	20344	65358
428	20393	65317
429	20441	65271
430	20488	65219
431	20530	65155
432	20579	65113
433	20624	65056
434	20675	65022
435	20721	64969
436	20765	64911
437	20811	64858
438	20862	64819
439	20913	64784
440	20960	64736
441	21005	64679
442	21050	64626
443	21098	64577
444	21144	64526
445	21188	64468
446	21234	64416
447	21278	64356
448	21319	64289
449	21368	64249
450	21431	64246
451	21486	64221
452	21534	64174
453	21578	64116
454	21626	64070
455	21672	64020
456	21720	63974
457	21766	63920
458	21810	63862
459	21877	63873
460	21930	63842
461	21990	63828
462	22051	63821
463	22101	63778
464	22146	63724
465	22189	63664
466	22239	63622
467	22283	63565
468	22327	63506
469	22386	63490
470	22436	63449
471	22480	63393
472	22525	63338
473	22573	63291
474	22621	63244
475	22670	63201
476	22715	63145
477	22763	63099
478	22811	63052
479	22867	63028
480	22921	62999
481	22971	62955
482	23013	62892
483	23063	62851
484	23110	62802
485	23155	62747
486	23202	62700
487	23249	62650
488	23297	62604
489	23344	62554
490	23392	62506
491	23443	62467
492	23486	62408
493	23542	62383
494	23587	62329
495	23636	62284
496	23680	62226
497	23726	62174
498	23773	62124
499	23819	62073
500	23865	62021
501	23914	61978
502	23961	61929
503	24002	61864
504	24063	61850
505	24115	61814
506	24180	61809
507	24243	61800
508	24291	61755
509	24345	61722
510	24389	61666
511	24445	61637
512	24505	61621
513	24559	61590
514	24607	61541
515	24655	61496
516	24704	61450
517	24753	61406
518	24797	61348
519	24842	61295
520	24889	61243
521	24941	61206
522	24986	61151
523	25033	61103
524	25079	61051
525	25128	61006
526	25175	60957
527	25221	60904
528	25266	60849
529	25315	60804
530	25363	60756
531	25424	60741
532	25468	60685
533	25513	60631
534	25563	60586
535	25607	60530
536	25651	60475
537	25699	60427
538	25750	60386
539	25797	60336
540	25844	60288
541	25889	60232
542	25939	60190
543	25982	60132
544	26045	60119
545	26090	60064
546	26136	60012
547	26179	59955
548	26236	59928
549	26288	59888
550	26336	59842
551	26387	59801
552	26441	59767
553	26497	59738
554	26548	59698
555	26593	59643
556	26640	59595
557	26688	59547
558	26737	59501
559	26787	59457
560	26846	59436
561	26893	59386
562	26967	59394
563	27010	59336
564	27058	59289
565	27106	59241
566	27155	59195
567	27199	59139
568	27246	59089
569	27297	59048
570	27347	59004
571	27396	58960
572	27442	58908
573	27492	58864
574	27540	58817
575	27588	58768
576	27638	58725
577	27695	58697
578	27774	58714
579	27828	58680
580	27881	58642
581	27937	58611
582	28015	58626
583	28069	58589
584	28128	58564
585	28190	58545
586	28245	58512
587	28302	58482
588	28363	58459
589	28426	58442
590	28489	58424
591	28564	58431
592	28627	58413
593	28702	58419
594	28773	58418
595	28824	58373
596	28870	58321
597	28922	58280
598	28973	58236
599	29034	58214
600	29085	58170
601	29163	58180
602	29241	58192
603	29315	58193
604	29397	58212
605	29478	58226
606	29549	58222
607	29632	58241
608	29725	58280
609	29815	58310
610	29895	58323
611	29965	58316
612	30036	58309
613	30112	58311
614	30194	58326
615	30283	58354
616	30366	58371
617	30446	58379
618	30523	58385
619	30614	58413
620	30685	58406
621	30768	58421
622	30855	58442
623	30934	58448
624	31005	58439
625	31075	58428
626	31151	58428
627	31232	58436
628	31305	58430
629	31377	58421
630	31445	58406
631	31524	58410
632	31605	58418
633	31684	58420
634	31769	58436
635	31836	58417
636	31910	58409
637	32001	58435
638	32085	58446
639	32169	58457
640	32250	58463
641	32340	58484
642	32428	58503
643	32507	58502
644	32589	58508
645	32657	58490
646	32736	58490
647	32818	58496
648	32913	58524
649	33003	58542
650	33100	58573
651	33168	58552
652	33257	58569
653	33325	58549
654	33399	58537
655	33473	58527
656	33563	58545
657	33642	58541
658	33706	58514
659	33781	58503
660	33859	58499
661	33939	58497
662	34022	58500
663	34108	58508
664	34194	58516
665	34273	58511
666	34358	58517
667	34429	58498
668	34527	58525
669	34626	58554
670	34722	58577
671	34811	58588
672	34903	58604
673	34998	58625
674	35088	58637
675	35173	58639
676	35245	58621
677	35326	58617
678	35396	58594
679	35468	58575
680	35539	58554
681	35612	58536
682	35681	58512
683	35772	58522
684	35865	58536
685	35945	58529
686	36031	58532
687	36117	58532
688	36202	58533
689	36280	58522
690	36365	58521
691	36456	58530
692	36546	58537
693	36642	58554
694	36733	58562
695	36809	58545
696	36905	58561
697	36990	58559
698	37085	58572
699	37166	58563
700	37250	58559
701	37328	58544
702	37411	58538
703	37514	58562
704	37589	58543
705	37662	58520
706	37738	58502
707	37803	58467
708	37883	58454
709	37988	58480
710	38098	58514
711	38174	58494
712	38253	58479
713	38333	58466
714	38413	58453
715	38494	58440
716	38595	58457
717	38671	58438
718	38744	58413
719	38814	58383
720	38891	58363
721	38968	58345
722	39049	58330
723	39120	58302
724	39197	58281
725	39278	58269
726	39360	58254
727	39446	58248
728	39552	58270
729	39629	58249
730	39727	58259
731	39822	58265
732	39891	58231
733	39962	58202
734	40029	58165
735	40111	58150
736	40197	58141
737	40267	58110
738	40350	58095
739	40430	58078
740	40524	58080
741	40616	58078
742	40703	58069
743	40792	58063
744	40884	58061
745	40971	58051
746	41057	58041
747	41149	58038
748	41229	58018
749	41311	58001
750	41377	57961
751	41448	57928
752	41529	57909
753	41626	57913
754	41704	57889
755	41789	57875
756	41863	57845
757	41951	57835
758	42028	57809
759	42111	57791
760	42190	57769
761	42266	57742
762	42335	57704
763	42404	57667
764	42480	57640
765	42552	57606
766	42621	57570
767	42689	57530
768	42775	57516
769	42856	57495
770	42938	57473
771	43018	57451
772	43093	57420
773	43177	57402
774	43264	57388
775	43346	57366
776	43415	57329
777	43501	57311
778	43570	57273
779	43664	57267
780	43756	57258
781	43848	57250
782	43934	57232
783	44040	57241
784	44133	57233
785	44201	57192
786	44279	57163
787	44357	57136
788	44437	57109
789	44504	57067
790	44571	57024
791	44638	56981
792	44720	56958
793	44801	56932
794	44880	56905
795	44942	56856
796	45019	56825
797	45098	56796
798	45171	56760
799	45244	56725
800	45322	56696
801	45404	56671
802	45490	56650
803	45572	56625
804	45650	56595
805	45737	56575
806	45818	56548
807	45903	56526
808	45978	56492
809	46070	56479
810	46152	56452
811	46236	56428
812	46322	56407
813	46400	56376
814	46479	56345
815	46552	56307
816	46629	56274
817	46701	56235
818	46770	56192
819	46837	56147
820	46906	56105
821	46989	56078
822	47060	56037
823	47138	56005
824	47215	55972
825	47292	55937
826	47362	55895
827	47445	55869
828	47536	55851
829	47616	55820
830	47709	55804
831	47795	55780
832	47860	55732
833	47946	55708
834	48039	55690
835	48125	55666
836	48219	55651
837	48301	55621
838	48384	55593
839	48458	55553
840	48524	55506
841	48609	55479
842	48702	55462
843	48773	55419
844	48848	55381
845	48911	55329
846	48979	55282
847	49047	55235
848	49115	55189
849	49188	55149
850	49275	55123
851	49348	55082
852	49429	55050
