iter	RMSE
0	3.029888513
1	2.979504585
2	2.923772833
3	2.872235318
4	2.825014906
5	2.771868699
6	2.726806879
7	2.683092032
8	2.647726216
9	2.607578006
10	2.557750937
11	2.514054199
12	2.483163989
13	2.454690268
14	2.420868933
15	2.397114446
16	2.37102059
17	2.338857079
18	2.31160499
19	2.286531874
20	2.264528219
21	2.238709557
22	2.213653651
23	2.191994212
24	2.169862233
25	2.140952546
26	2.119964592
27	2.10770582
28	2.082800054
29	2.070125079
30	2.048855234
31	2.031169358
32	2.022479092
33	2.010112905
34	1.991938349
35	1.973719803
36	1.960239398
37	1.946233071
38	1.932415864
39	1.913794718
40	1.897062948
41	1.87803376
42	1.860717036
43	1.845185328
44	1.834548462
45	1.823483942
46	1.815989132
47	1.810978395
48	1.803929029
49	1.794751546
50	1.779894995
51	1.771245104
52	1.762267909
53	1.747228819
54	1.737806138
55	1.726914351
56	1.723193838
57	1.719730661
58	1.709167164
59	1.700620727
60	1.691648039
61	1.682846642
62	1.678111359
63	1.672509336
64	1.663304609
65	1.655551113
66	1.642360209
67	1.639360349
68	1.636407481
69	1.63283456
70	1.624464656
71	1.618232294
72	1.607698479
73	1.601492306
74	1.594589138
75	1.589908153
76	1.588819351
77	1.577946422
78	1.571142654
79	1.564146559
80	1.56178865
81	1.55592545
82	1.547794277
83	1.541797253
84	1.539320039
85	1.537434888
86	1.531319952
87	1.526124485
88	1.517671835
89	1.511626816
90	1.507767924
91	1.504380626
92	1.499609441
93	1.487194209
94	1.486421339
95	1.481024954
96	1.474326451
97	1.472484817
98	1.469585731
99	1.462588649
100	1.458752913
101	1.455332866
102	1.451642538
103	1.441584188
104	1.438125826
105	1.432549494
106	1.429174214
107	1.429064715
108	1.420468765
109	1.417241875
110	1.408615341
111	1.405576942
112	1.402872198
113	1.400880998
114	1.398313305
115	1.397832053
116	1.395405971
117	1.391836693
118	1.389678478
119	1.384927324
120	1.382642096
121	1.37984594
122	1.373998639
123	1.373987524
124	1.37309457
125	1.366819536
126	1.36573889
127	1.363855167
128	1.360690939
129	1.358186588
130	1.354890873
131	1.353249405
132	1.348824777
133	1.347641152
134	1.347144466
135	1.343385356
136	1.341095145
137	1.337889339
138	1.337608979
139	1.33206184
140	1.328617573
141	1.325950819
142	1.324556618
143	1.319853952
144	1.319172411
145	1.317226642
146	1.311703633
147	1.308974795
148	1.307718783
149	1.306238485
150	1.306229368
151	1.302023042
152	1.300788274
153	1.29786997
154	1.294728182
155	1.286654004
156	1.284449658
157	1.284449631
158	1.282916694
159	1.282138286
160	1.282138241
161	1.280819488
162	1.278439945
163	1.272499841
164	1.268935681
165	1.266499939
166	1.264786694
167	1.263334558
168	1.260906871
169	1.258870827
170	1.256678931
171	1.255426449
172	1.254417955
173	1.253728955
174	1.250747487
175	1.247137782
176	1.244557088
177	1.240780131
178	1.236641083
179	1.233944336
180	1.233350331
181	1.231747298
182	1.229759743
183	1.228136299
184	1.226100363
185	1.22496293
186	1.223063182
187	1.222296648
188	1.219836381
189	1.217452869
190	1.216024952
191	1.214978898
192	1.21388649
193	1.21327585
194	1.208399906
195	1.204052666
196	1.201718842
197	1.200669822
198	1.200138533
199	1.198932253
200	1.196629845
201	1.195173467
202	1.193685819
203	1.192760902
204	1.189625288
205	1.187350214
206	1.181712585
207	1.178871989
208	1.177749159
209	1.174128243
210	1.174128071
211	1.170942864
212	1.168281928
213	1.166234346
214	1.162946389
215	1.159435532
216	1.157200329
217	1.15632093
218	1.153322096
219	1.153121687
220	1.153033061
221	1.150685043
222	1.1465771
223	1.143983183
224	1.138957435
225	1.135149731
226	1.133616717
227	1.129636588
228	1.126393715
229	1.123807244
230	1.118217874
231	1.116059169
232	1.110931149
233	1.109380899
234	1.107093303
235	1.10349432
236	1.099551635
237	1.097086909
238	1.094724156
239	1.093468298
240	1.092775313
241	1.090051603
242	1.085735504
243	1.082154854
244	1.077926446
245	1.070008437
246	1.069763979
247	1.06349503
248	1.060823055
249	1.059294493
250	1.056690115
251	1.050886905
252	1.046777088
253	1.040188344
254	1.037776981
255	1.034290418
256	1.028640583
257	1.02293946
258	1.019789127
259	1.014899361
260	1.011779232
261	1.010005201
262	1.007880702
263	1.004459522
264	1.002696394
265	1.000374378
266	0.9979693028
267	0.9957809169
268	0.9940135491
269	0.9910504845
270	0.9892459985
271	0.9868510435
272	0.9835479619
273	0.9807919633
274	0.9772368285
275	0.9745083891
276	0.970701217
277	0.9683707716
278	0.9645736864
279	0.9618791204
280	0.9590876774
281	0.9565840894
282	0.9545626339
283	0.9525940784
284	0.9503550876
285	0.9476318445
286	0.9455657534
287	0.9433755467
288	0.9407273191
289	0.9385642184
290	0.9362270115
291	0.9352491837
292	0.9332109389
293	0.9308168153
294	0.9269782707
295	0.9240673451
296	0.9209704203
297	0.9193081568
298	0.918782722
299	0.9166508172
300	0.9153085815
301	0.9141389711
302	0.9115550056
303	0.9097862166
304	0.9082123921
305	0.9073003219
306	0.9047879581
307	0.9029881295
308	0.902646854
309	0.900898523
310	0.8984388029
311	0.8952911444
312	0.8935621342
313	0.8916632383
314	0.8900767321
315	0.8887878981
316	0.8874117955
317	0.8863048139
318	0.8853875239
319	0.8845173288
320	0.881941078
321	0.8814911794
322	0.8793340048
323	0.879148374
324	0.8781727382
325	0.8766872225
326	0.8751348916
327	0.8735177905
328	0.8712567288
329	0.8709374369
330	0.8697086157
331	0.8692216425
332	0.8676464858
333	0.8671479818
334	0.8659764086
335	0.8644333338
336	0.8628947437
337	0.8615020727
338	0.8606154446
339	0.8602676382
340	0.8575034192
341	0.8570129995
342	0.8561236642
343	0.8546893443
344	0.8529949551
345	0.8520097008
346	0.8512952721
347	0.8503627153
348	0.8489925337
349	0.847900303
350	0.8457074404
351	0.8453595819
352	0.8449661531
353	0.8440757618
354	0.84283296
355	0.8412219091
356	0.8396446984
357	0.8383364676
358	0.836632646
359	0.8359279458
360	0.8356330436
361	0.8351149682
362	0.8343257355
363	0.8329108271
364	0.8314611499
365	0.8310408107
366	0.8293948749
367	0.8279017479
368	0.8267524997
369	0.8264787473
370	0.8252935694
371	0.8252040577
372	0.8238524314
373	0.8228480692
374	0.8225230237
375	0.8219925449
376	0.8203688821
377	0.8193792499
378	0.8182552164
379	0.8180579414
380	0.8166830759
381	0.81505313
382	0.8137439593
383	0.8131256731
384	0.8126143189
385	0.8122840763
386	0.8107290779
387	0.8102637418
